,sentiment,text
36,0,"@FionaFlame Oh no, that's even worse!  *Wonders if can start a Blue Peter appeal to send urgent food parcels to Bath*"
37,1,@makemethin okie thanx 
38,1,@Itxi_Itx awakened indeed - thought some twitter alarm clock had gone off that I missed 
39,0,i feel like crap today 
40,1,Finally home! I need to tell @taylorxtrauma some VERY exciting news 
41,0,@wm86 not fair we gotta work... 
42,1,@Sunday28 anytime 
43,1,"@stutterinstan Indeed, thank you "
44,0,I'm hoping the injections needed for a visit to Egypt can be counted on one hand. Bloody hate needles 
45,1,@GeeBears96 its so cute  so did you think about phx?? ;) hehehe....
46,0,@MyCatCrash Awww...no more space boot?  
47,0,@NiaBassett oh god  hope she is ok huge hugs xxx
48,0,"Back from Mahon Point - everybody got something, except Mommy. Mommy hates shopping "
49,0,"i need sleep, not use to working, really not looking forward to 10 hours shift on monday "
50,0,@BdotStone two thumbs down!!!!! 
51,0,@freeintegrated......... I texted u last nite....  going 2 church 2day?
52,1,@delectableSU poor index right! safety gloves?  or blunt knives?
53,1,"'When are you going to realize that being tough, means being tender?'  I lovee Jam. / Detroit Rock City."
54,0,one hour late-bad plumbers  http://tinyurl.com/pnptq8
55,1,@whatswithinu I'm very much in tune with your words today. Thanks. 
56,1,@djnyce What up to today? 
57,1,@WOTN I'm sure I won't! I can't wait. Convinced the hubby to stay up and watch it too  He usually can't stay awake that long! Haha
58,0,time to get some ironin done ...can think of betta ways to spend a sunday mornin 
59,0,"Reading about Dumbledore's death and funeral is making me feel very sad about my cat.  Is that just ridiculous, or what?"
60,1,@decembabreeze LOL!! Awwww you're lucky!!  I want a son so bad...too many women in my family. I'd try not to make him a momma's boy but...
61,1,"@CHRIS_Daughtry  thinking about Universal, I recall your saying it was the biggest crowd you had ever played for  How things  have cha ..."
62,0,"@JayLink_ I have no idea, but I pissed of a niche group of grandmothers tonight "
63,0,Feeling proper weird today 
64,0,"@dougiemcfly bad, bad Percy!  not cool, Mr. Bass."
65,1,@crside I am now following you  tweet on my friend
66,1,"@atchoo Greece!! o_O lucky son of a gun! i bet you're grinning ear to ear now, aren't you? "
67,0,"feel bad about my English, Couldn't it be better? "
68,1,@Iloveth yeah i think so  hurry home xxx
69,1,@laurendaymakeup thanks so much 
70,1,@IndieChavv I hate burning myself with straightners... I always feel like evolution should have weeded ppl like me out!  x
71,1,@miquel49389  I love the house...definitely a good move. 
72,0,@BefiBeez Oooooooooooooooooo do we have any exams together? during this week? 
73,1,@hollyalyxfinch  Hello deary!  All ok with you?  Keeping out of trouble? Jail? Chains? 
74,1,"@rayofsunshine16 my daughter is 17 and getting customer svc experience in a shop, has done leisure &amp; tourism, always wanted airline job "
75,1,@YourWxToday Beautiful here in NW Lower MI today! Balmy and calm seas on the lake 
76,0,am now officially at my lowest weight since before high school (minus my coke head years-that was insane) this explains my smaller boobs 
77,0,@1225lola  I know and I need to Sleep  blah blah blah
78,1,@Crazy4Crystal yes i do say so  I think i like to take charge.
79,0,@BitchNotAPerson Cold potatoes are a hundred times better than warm potatoes. Don't like those too much either 
80,0,@ComptonFlyElle 5 days! Wish u would have stayed this week! 
81,0,NOOOOO!!! DEMI'S NOT IN THE TRENDING TOPICS ANYMORE  LETS GET HER BACK THERE!
82,1,@bobbychariot hope the painkillers work! Am watching the Politics Show &amp; wondering why I am lol - not sure what am doing for rest of day 
83,1,"@taylorswift13 aha! nice, Taylor. ;p you should take a picture &amp;&amp; post it on twitter.  ;p"
84,1,@maryk3lly  i didnt watch star trek yet.... i thought that i will watch it last night ... but i didnt... =( ... i will watch it today... 
85,1,@DrMollieMarti How was Gemini Baby bday?? 
86,1,@oprah pls if u get dis twitter--kindly reply i wanna know if this works lol--im still a newbie and glad 2 c u here 
87,0,"@Rafiraga aaauuug, i have to look for a job tomorrow and wednesday = no kaching. "
88,0,"@sunriseon7 yes of course, i love your show only cause i always come watch performers, and eric was on the other day but you didnt tweet "
89,0,And then hayfever starts 
90,0,"@Prima_Diva lol.. it WAS.. now its just getting pathetic the words ppl are coming up with.. smh, it was just a random rant, im so bored! "
91,1,"So I had my phone dead since last night, decide to charge it &amp; had 200 unread messages. Fucking Twitter. Anyways, feels good to be back "
92,0,@lostlovely 
93,0,@aussieboby i don't envy you driving all that time in Sydney traffic ..  .. you deserve a medal
94,1,The sky's green!! I like it... 
95,0,No way am i gonna finish this coursework for tomorrow 
96,1,Done with work and Mondayitis. Time for coffee with Clairebear! 
97,0,@livnb yeas its very sad.. i wont get it till i get back  also what does ttow mean?
98,1,Got an appointment with the Doc later on... I'd be surprised if I can remember where the surgery act. is. lol. 
99,1,@mschantel_426 Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip 
100,1,@ShropshirePixie @BigAssBadger Great minds think alike! lol 
101,0,@amybabydoll69 @hollymae20 neither can i  it's not fun!! i apply to things but don't get anything back!
102,1,so collddd. my free tshirt arrived today 
103,1,@jorgeepower Ah I am going to take first r&amp;r weekend in ages. Total rest. We'll see how that works out though 
104,0,I was late to the #ontd trending topics party. 
105,1,@Galiiit I like it 
106,0,@teambudd1 Time for you to relax then. I'm out lunching &amp; shopping today...even though it's raining 
107,0,"@angel0712 Oh, I can't.  I mean, how would it work?  I'd go, and then Lee'd go?  We'll just wait for the DVD release.  "
108,0,Gmail is down? 
109,0,Jeezus my body hates me right now!! 21 hours awake and still counting! I had fun with my friends tonight. And I miss Cassieface already 
110,1,@Rowdyeh @mangonocturna thank you 
111,0,"...I'm obsessing over. And when Lost comes back, given it's the final season...it's gonna be even worse. "
112,1,"@IamMaxatHotSpot Yeah, happens to everyone. Live and learn. "
113,0,"@zeddessarts Oh that sounds nice, I love the summers here, always bright but then the winters are the opposite so that's no fun! "
114,1,What a wonderful cause! Thank you @OpGratitude for all you do!  #militarymon
115,0, having my friends drop me off was a bad idea. i miss you guys already. two months? seriously?
116,0,"oh, i'd forgotten it's rob day at the cinema. sad now "
117,1,brb ppl need food lol 
118,0,Awake cause another night I can't sleep 
119,1,my iPod touch have this tendency to pick Jacky Cheung's songs every time I say Shuffle... 
120,0,Be a new video up tonight. But the 2 bad things are I still have. Cold and I don't have a SciPhone 
121,1,@lyssa06 Yea ok for u sure why not go ahead tell D`dub and his 2wife i said was up lmfao 
122,1,@AnnaMariaPdT Hi! Do you speak fluent Filipino at home?  I just wanted to ask. 
123,1,@selves what're you workin on now? goin for a run or what? 
124,1,@tommcfly Hey Tom  Would you ask Danny what's his favorite Death Cab For Cutie song?  Xx
125,0,WeLL I'm At WoRk Already!!  Ugh
126,1,I'm OFF now! see you guys tomorrow! good night! 
127,0,someone tried to approach me  too danger
128,0,@grupozis  Clean Me!
129,1,@Depond lol  it did make me laugh aha but i was like oh dear you did not just say that  aha xx
130,0,"wow...i went on a rant rampage,didnt i!?!?! *deep breaths* sorry,the news scares the shit out of me sometimes! "
131,1,so naf showed up we did some warm ups then interval sprints then filmed my one lap in just speedos lmao dam it was cold 
132,1,@KateFromage sounds as if they meant not BY May 29th but by the END of May 29th.    Doesn't matter. Let's go for the finish line! 
133,1,feel refreshed.. 
134,1,"Angel`s section 2. She`s asking, who else is with her? "
135,0,@robineccles you mistweeted  here's the link again if you need it http://bit.ly/J5KPAOk
136,0,"Accidentally buggered my network connection port by forcing in a memory stick  In my defence, the room was dark, and I feeling my way."
137,1,@HethertonCessed  I know why I don't have a welsh accent... it's because IM SCOTTISH!!!!!! 
138,0,@franniiee_xx OMG you like ghibli films LOL have you watched grave of the fireflies  that made me cry so much
139,1,@3fingaz every little thing  just trynna keep these niggas and my business n line
140,1,@Moonbeamdisco So bundle up the boy and go sit in the sun with him and read him a story.  
141,1,"@sarahmaclean oooh ok, remind me in like a week "
142,0,"dad wants the computer, so I'd best be off  taking my lapity-topity to a mac specialist tomorrow, hopefully they make teh owwie go awayz"
143,0,@MysteriousMysti  well in an earlier tweet @sexonwheels asked for the dates for London and he said he couldnt say ? !! 
144,1,@Leabella Sweet signoff...Rest Well! 
145,1,@dansgalaxy the click to buzz tweet 
146,1,@Toxicrobots your tweeting like me @ the begining when i first started 
147,1,"@FluerRezsabelle Okieeeeeeeeee  LOL. hahahhahaha. now you've mentioned it,i havent punched someone in a long time."
148,1,@RobLane good good. I'm ready for my closeup.... 
149,1,"@Wathobio Hey you  Fancy seeing you here Ofio big  Yes, you guessed right, I hail from the aforementioned clan! How goes it?"
150,1,@Jonasbrothers yay! have a great plane ride.  peace out.
151,0,@trendebarbie7 chicaaaaaaaaaaaaaaaaaaaaaaaa!!!!!!!!! whats up??? i miss ya!!! 
152,1,@milliontwits   me too memory like a .......... ? ....... what was I saying?
153,0, im being attacked by a moth!!  its scary stuff  haha!
154,1,@Lemonpi PH and I are having a macaron smackdown...except he is not aware of it...It's all being played out in my head 
155,1,"@ashinynewcoin I mean, fingers crossed you *don't* of course. "
156,0,Still cannot print to ip4300. Print queue opens and shuts without printing  Does it on 2 machines.
157,1,"@Scottmehl I know, I hated it. I'm trying to get my voice back though  I'm drinks loads and loads of water. No more soda!"
158,1,@BlackSwanUC haha happy to entertain  xx
159,0,Aliens is not improving my mood.  Feelin depressed.
160,1, i wish i had my tablet pen :c...
161,1,Think the sun has melted everyone away like ice lollies.lol 
162,0,Hate wakin up early specially from a day like yesterday. Wish it could rain the whole day today. 
163,0,@squishymatter oh sorry about your back  Hope J gets better fast and it doesn't keep bouncing around!
164,1,"@shiningthunder Oh, boo... Stupid Kevick comm. &gt;.&lt; Oh, well, yours is still lovely and Kevin-personalized! "
165,1,@DHughesy Rule number 1. Never wake a happily sleeping baby unless its to eat. Wait till he wakes 
166,0,@thehappyhours oh noooo  sorry girl
167,0,@ArcieriKeness I remember when he died 
168,0,i need a hug 
169,1,Yaay!! Bothers and Sisters!! Woo-Hoo!! 
170,1,@JasonBradbury when will the twitter episode be shown? 
171,1,@chilled35 I'm in caerphilly. About mile or so from where they go bowling!! and I was born in the hostpital where ness has the baby 
172,0,will be visiting my dog at the pet clinic. hope he's well. I wanna play with him na 
173,1,Mum Might bring me to the overnight Cancer Walk Cuz I want to take Pictures 
174,1,@SiobhanBulfin thought you might like it seeing it's absent of meat 
175,0,@blackharu777  Clean Me!
176,0,"in bed, my midnight snack and I, twix  theres a fat girl in me somewhere"
177,0,"@berriesweetest Sounds interesting. Yeah, my brothers &amp; I don't know spanish but my mom &amp; grandparents do  WTH!"
178,1,thinking of a front end 4 the FC Delivery 
179,0,"@Caitlinjstasey Anyway Caitlin, I'm off to bed, I have school tomorrow.  Good night &amp; hope you decide to come back to Neighbours soon. xo."
180,1,@rbernaltx @josephbrady @DanWhitley @weizenbaum Thank you so much 
181,1,"Aww, what a great show "
182,1,@FrankieTheSats @MollieOfficial @unahealy @vanessawhite  @rochellewiseman Good luck for tonight girlies! 
183,1,#goodsex means never having to say you're sorry 
184,0,Hmmm... I haven't done anything useful all morning  I'll have to work twice as hard this afternoon!
185,0,@NK4evr  I've been talking to you!!!!  Are you ignoring me?  thought you were gone 
186,1,"@arnehulstein You win another star, Sir!  http://twitter.com/arnehulstein/status/1965658863"
187,1,morning to my 300 followers  thanks for being interested in my updates. more #happymaking will follow   www.happymaking4u.blogspot.com
188,1,"@journo_at_work decisions, decisions .. "
189,0,"@itsjoejonas ohhhh  is there anyway u guys can come tour here? i would travel the world just to c u guys perform, please try and come xoxo"
190,1,@CHRISTIE__ OPAAAAAA yes and we do not break plates we dance 
191,1,@tweetnotpurge1 i'm very excited. we booking flights and planning next week  coming there in winter **brrrrrrrrrrrrrrrr**
192,1,@margoks Don't forget to vote for our entry!   http://bit.ly/V5ZEW
193,1,@EnterPeace .....well you let me know how it works out for you. 
194,0,"@andrevr yes, but sadly i can't make it  family commitment from forever ago..."
195,1,"@KweeniB how old r u, well its here now so just give it yall "
196,1,@neo_pepper cuz hes just that amazing.  haha i really have no clue. (:
197,1,@loolet you dancer! as they might say in glasvegas 
198,1,@velofille I hit 140 characters. Was supposed to end with soon 
199,1,"@GabrielSaporta Tweet #Jizzersforlife  We're FBR fans, we're jizztastic, and we're trying to make it onto the TT. Help us out? Thanks!"
200,0,"@lisamh77 Concord &amp; Irvine, CA only. That's it for '09. "
201,0,@ThisStarChild but who wants to see all those scars  as for the workshop I explained there was a mixup with the slides....cough....
202,1,"@neilalan2006   I like it for the most part, but there are days it is stressful"
203,1,Stayed up late because it's summer. Been trying to finish Terninator Salvation for the 360. 
204,0,so...i guess there isn't much going on tonight... 
205,1,#shaundiviney#bradiewebb#andyclemmensen#shortstack    ily! &lt;3
206,1,@littlepartygirl  Kaya naman talaga and besides he went here and you went there 
207,0,"@pappe_it_is just met some1 who is doing what I'd want to do but jus cus he is lucky, he is where he is now "
208,0,@xoMusicLoverxo EXACTLY!  I can't wait till fall either. Evil show.  I got chills with the George thing though. Yup. 007. 
209,0,good morning twitter!!!! how are my slowly decreasing followers going? sorry for lack of tweets lately  internet has been stuffed!
210,1,@MichaelaMoose wheres greg though 
211,1,"@Jealoushe You and me both, girlfren.    Sleeeeeeeeeeeeeep for me!!"
212,1,After to refresh my country twang side lol going to move for David Pop Soul side.  *i &lt;3 COUNTRY and DAVID ARCHULETA songs*
213,1,@DirrrrtyydVE HOLY SAUSAGE! I'm saving this number! is it yours? 
214,0,@mackmaine WHY U STOP FOLLOWIN ME? 
215,0,I miss LB/BTSG  I also hate that I miss him! The rat bastars!!! *shakes fist in air*
216,1,"@tommcfly tom, i need you here in brazil! when you come again? i heard that you're back in october, is true?  Xx"
217,1,@RockOfAges do u know when exactly in the show tonight that ROA will be performing? I can't wait. Go ROA&amp;Go Constantine 
218,1,@SSjUmi yes thats always freaking hot  but now it's something different: http://bit.ly/T4dWR
219,1,"I'm off to bed, been a long day! sweet dreams "
220,0,"im actually so scared of walking to work atm, its horrible  that rapist is sick and needs to be caught!"
221,1,http://twitpic.com/6qliy - dinner - the bf cooked tonight! yippee 
222,0,@thekiddaytona OMG dont give me that!! i tweeted u and texted u i was in town and u ignored me  no wuv for me
223,0,@jenthegingerkid oh no. makes me shake like a crack head 
224,0,@bohemiangeek @sciencegoddess no cup holder  But that would be a great addition. In the mean time you use the armrest I guess. 
225,1,Getting some stuff then going home and taking a shower get all this stank off me 
226,0,I'm sorry but I really don't find it amusing when someone makes a &quot;hilariously funny&quot; allegory about rape. Time 2 get offline methinks. 
227,1,"@NicholeAudrey More like a peeping Jane.  Sokay, sometimes ya just got nuttin' to say."
228,1,Herb-crusted grilled fish with garlic-parmesan potatoes  YUMMAAAY Can't wait to dig in!
229,0,airwillson: got the flu  ...prime example of vulnerability http://bit.ly/2hDvwY
230,1,Sunny again tomorrow... how exciting! 
231,0,@mvnz me either. not much. in fact idk if ill even be able to let you pay me at all :S i dont know how good i am at design anymore 
232,0,@dorkierthanyou i tried to click the link but it dones't like me 
233,1,@Nickman611 i think the dude asked me if i wanted to test drive yesterday b/c he KNEW i'd fall in love with the Jeep. Bastards! 
234,0,thats unfair 
235,0,2 more hours. Blah blah blah. :/ Radio switched to the rap. 
236,1,...to have the world! 
237,0,@riskybizness lol i tried to get ur style for my b day but she did it wrong  lol i had to take dat dowb wit da quickness!
238,0,@Vain_Fame nooo!  u did it!
239,0,"@casual_intruder I know miss cod u told me, am still waiting for the drunken ass partially nude pics "
240,1,@whitsundays hehehe good for you  you'd be surprised at the TMI stuff I get told everyday ;)
241,0,i refuse to watch conan. i miss jay  is he even being funny?
242,1,spymaster is a waiting game isnt it?  u just keep on waiting.
243,1,Headed to the flower shop with Mom. 
244,0,Just arrived at the gym and ALL I can think about is chocolate cake. Damnit! Bad Katherine! 
245,1,"@JaqStone besides, puppy breaks, and kitty breaks are fun!  even if it's just for 2 minutes"
246,1,It took me about a year after to watch the first Twilight..But not for &quot;New Moon&quot; Booyah! 
247,1,who are some good people to follow?? any ideas anyone?? 
248,1,#followfridays @gfalcone601 @frankiethesats @ junkfoodtees @bjblyth @Louu_      cool people 
249,1,@AlexRevirell hehehe...me too 
250,1,Having a break from coursework 
251,0,@rachell16 i dun like david archie 
252,1,"is pretty damned impressed with Denny's corporate Twitter stream, @Dennysallnightr (and @dennysgrandslam AND @dennysgalveston "
253,0,@Little_Ren I have two Chemistry papers on the Wednesday as well... I'm revising that atm... But U should probably do Hizzo instead. 
254,0,@thelele OMG F U! That's so pretty 
255,1,@Barney21 i'm having a drink with dinner .. and its Tuesday .. normally i don't but today - iam  .. hope your day is a good one
256,1,@chelpixie no she doesnt....just having a rough day. Just give Firefox some breathing space and will be fine 
257,1,@ArunBasilLal hihi *cheers* #coffeeclub 
258,1,@rickyli99: ooo yeah we getting some of that over here 2 
259,1,"on the way home...  i had a great night, "
260,0,@shortyyyy NO!  Did you get to see it? They came to one of the theatres here too!
261,0,"okay windows 7, i know my sound card is ancient, but jeezus.... linux can figure it out, so should you!! "
262,1,"@CoachDeb Yeah, it's usually not too big a stretch. "
263,0,Need to sleep... gotta get up in 5hrs...  Good night everybody!!!
264,0,"@RachelHawley If its a 15, they won't let me do it "
265,1,@Audio_Rush yeah i should go to bed soon  it's 2:23am  you dont have class?
266,0,@G_GMoney17 -- hey babez! I need to be there like yesterday.  How are U?
267,1,It makes me giggle when advisors text 
268,1,"@nimbupani Divya, thnx a lot. Bt IMO it won't resolve the renaming prob? Let me know.  Now if only #apple would act upon my feedback."
269,0,@grex78 I know &amp; I don't have them 
270,1,@DarleneOuimet It's a fun process &amp; it gets me away from the computer BUT is becoming a BIGGER job than intended... as always 
271,1,@jonesieboy Congratulations   Enjoy!!
272,0,"has so many things to move out. I need someone to drive my car. I have no professional license, yet.  http://plurk.com/p/z0jwy"
273,1,quick note...i'm starting to like Metro Station..not bad or is it.  Nightxx
274,1,happy Victoria Day to all you Canadians. And happy &quot;you get a raise&quot; day to the assistant! 
275,1,@QolourBliss Mmmmm... you reminded me about 'em. Fish 'n' chips *day dreaming* Might have to get a portion today... for lunch. 
276,1,Had to pause Intervention when my job counselor got here I think she's a former addict. My appointment's over I guess I'll try to sleep. 
277,1,@LOVEandPEACE001 http://bit.ly/108rNE  too funny! Watch it sometime 
278,0,@theother66 there are a lot in Adelaide that have the handbrake on - it upsets me at times 
279,0,@myers41 it's horrible!!!  http://tinyurl.com/yq2hoc http://bit.ly/In2Oq http://bit.ly/752NI http://tinyurl.com/pdeyqp
280,1,@the_apostate ellos lovely 
281,1,@Shan_grey i like 29 it looks cool 
282,0,the Sims 3 needs to be for ps3. 
283,0,@MargauxxB we havent had one in ages @adamficek please. 
284,0,Geez out the precint now gotta sit on my ass for another Billi hrs at the E.R  I juss wanna sleep
285,1,@MarkFromHawaii good night - sweet dreams 
286,1,@PattinsonFreak  I think I'm getting TOO obsessed :\ - is it a bad thing?
287,0,"@MommyMelee fantastic!  i took my macbook out there, thinking the sunset would be my muse this evening...  had no signal.  "
288,1,"@theladyisugly Good morning, it's 10:09 here and I am _not_ awake. (I'm just pretending.  )"
289,1,"@Dannigyrl He's included in that blog made on MySpace about ya'll!  I love creativity, positive minds, love and support!"
290,1,Just came back from HM movie 
291,1,I want a orange soda. to come out of my faucet  - cos I love orange soda. and that is not to be taken in a... http://tumblr.com/xkx1z4ngq
292,0,"@Tina0505 GAH! I need to get my hands on a copy, no idea of what's happened, Uni blocking me at every corner! "
293,0,@CynthiaBuroughs Morning honey. i sure do hope that migraine goes away fast.. i dont like it when ur hurtin  hugs!
294,1,@IrishMel21 Me too!! I'm still trying to decipher one more piece though. 
295,0,getting ready for work :-/ 7 - 11 is looking like hell for me .. hwever i shall focus on the money . as i am extremely skint ..   eurgh
296,0,@Svillebaby23 that truee haha! i knoww  im sure u can
297,0,"@Peter_Adams I know, I knew that beforehand but i'm throwing it out there again. Tina Sloan kinda hinted.I just dont want Nat to go away. "
298,0,"@Street3 good... but I have to go to work today  Oh well... only 6 more months, then no more saturdays!! w00t!!!"
299,0,@Veronicah86 oh oh.. Whats wrong I'm getting the one liner answers.. 
300,1,@SuzyDaFloozy LOL at twat ... never doubt my English again LOL - I who don't speak it 
301,0,GoodMorning... Argg too early for me 
302,0,trying to think of a few video ideas while im studying.. haha not really working out  anybody have any ideas for me? 
303,1,@fulfillddestiny  Great! Thank you 
304,1,"@MANDAMILMO Hi, Glad to see you are following me.I started following you b/c I am a RPh and us pharmacy people gotta stick together, LOL "
305,1,@joliechose you just have to ask     &lt;3333
306,1,@souldesign1 so far only we are the only ones 2 do the b&amp;p inspection.  Onto our MB to try speed things up 
307,1,"I am sleepy but I am waiting for people to tweet. Hello, @ddlovato and @DavidArchie ! "
308,1,"http://twitpic.com/38z4y P!ATD and FOB fans! check out my pics heaps of pics, collages + stuff, good desktops!  scroll thru em."
309,0,@CalelikePale agreed...  I hate it 
310,1,@reddywriting Steven Wright is hysterical! 
311,1,woOoOoh....tomorrow is my first day being a senior! 
312,1,@DonnieWahlberg haha nice =]. Cant wait to see you August 10th first time ever!!  xoxo
313,1,"Going to bed, chillen with shaw 2m and tie dying shirts!  goodnight."
314,1,@I_Support_DemiL ok. Good. 
315,0,"@AnnHawkins Blossom? Well my little Petunia, I have been waiting 2 days for tapes delivery. Can't go out until they arrive. "
316,0,Hey guys. Just had a well long bath lol. Is anyone elses MSN playing up? 
317,1,@ROD_ONE Thank you 
318,0,saaaad face 
319,0,@bobbyllew Mean! Just drove past &amp; all the roadsigns are up - so sad I'm not going 
320,1,@caseyore oh yikes! I know what that means for me then! 
321,0,"@dear_itskatie oh okay, wait, Lindseys dad is in the er "
322,0,@tymusic They have won their first seat in burnley though 
323,1,Hell yea i'm on a serious power trip right now! Beautiful morning  grabbing some starbucks
324,1,@cheth come back soon 
325,1,@muttnik Us Artist's are highly trained for such intelligence 
326,1,@tweenkle77 i will be the opposite to 'one of them'...I'll drive them crazy in other ways!! woot woot 
327,0,"@kyoungblood6971 Pshhh, I wouldn't call you predictable.  You always put yourself down.   STOP DAT, WOMAN!"
328,0,Ughh.. Its too freaking early! I need more sleep. 
329,1,on that note.....am spending the day with my grandson's.....will be back later tonight.....see you all later.....have a great day 
330,0,@veddersgirl Will start tonight. Bored. Tired of waiting on Darkward. I am breaking up with him 
331,0,"@ShelbyCasanova I think Twitpic hates you, it's still not working "
332,1,i love that taylor lives on a lake like me 
333,0,I feel really bad. Ive spent no time with my family tonight. 
334,1,@princessleah515 So true - its half-hearted dementia with a side of psychosis - wanna play a game? 
335,1,Waiting on my beautiful bride and CoolCat to get home from a movie.    // cool http://gykd.net
336,0,I hate slow laptops at work  speshly when it's my job to make them quicker. http://twitpic.com/5f46f: I hate s.. http://tinyurl.com/p8ws92
337,0,"@FeriaSpicePower However, I am not very chuffed that I cannot make it tomorrow for drinks!  Booooooooo"
338,0,"@mandeev I can't go today.  Give them my love, I'll see you guys soon.  Ily!"
339,1,@s_soliloquy Cool. I'm inside. 
340,1,"@mzzyun haha, good morning, and it KINDA is, if the bossman lets us go a little early that'll be cool but I'm not holding my breath "
341,1,"alright that was fun, just took marley on a quick run "
342,0,I want to go home :| 
343,1,"Hey, Everybody! How's everybody doing? "
344,1,"Eating early dinner in front of my @DavidArchie poster. @marjorielu, what are you doing? "
345,1,"@LaurenGent you have to go to Twitpic.com and upload an image there, it will pop up in your twitter feed "
346,0,@kum72 @viveksingh  Ooopsie! guess my work has taken away the fun from my life!
347,1,"Reached office again, back to work after gap of 4 days! Will not work for entire day and will be back home in couple of hours. "
348,0,@SensualStories wow... such a difficult time for your family.  
349,0,@PembsDave you're not bloody wrong. Still 15 minutes to go before I even get stuck in the rush hour traffic tho 
350,1,@beckyhope lol yeahh &lt;3 hope im better  got britney on thursdayyy too  INSANE!
351,1,@arancinibaby  and nail polish etc etc *roll eyes*
352,1,@FaithfulChosen i'm also in the netherlands 
353,1,"@valagnew hed just see it and be like wait a minute, is that my drawing? Ha ha its not a half bad idea actually "
354,1,@reeseybaby I told u I stay on twitter hahaha 
355,1,"I'll be watching the lake house at ten. So if I disappear, you know where I'm off to. "
356,1,@thelovingkind well thank you  im bout to watch Sabrina online i watched My Best Friends Wedding last night instead with the roommate
357,1,@janabelle_xo I remember that 
358,1,"@ptolemyalexande oooh!  i like architects. i'm in the opposite direction. #alaska here, and i work in the HIV/AIDS field"
359,1,@avjaysonav I live right by Tom!! Maybe I'll see you walking to his through my window.. maybe not lol 
360,1,@joshtastic1 okies we will give it a go.dont tell him.lol 
361,1,Still drinking and I got school tomorrow at 8... Oooops 
362,1,"@DavidArchie the cats are annyoing, so u didn't get some rest? xoxo "
363,1,@Fawaz_ How are you? 
364,0,@MeMo07 I'm sure you'll do fine! I'm sorry he has a fever!  I hope he feels better soon!
365,1,@glorificus5884 LOL I know going to bed before 10 pm. I feel so old. Have a great night 
366,1,@solessence Hahaha....a shirt? Ugh....fine....but pants?  Never!!! 
367,0,@dmbdork I want you to feel better 
368,1,I want Danny to tweet something. 
369,1,I heart Midnight Commander. I still use it as my primary file manager on my FreeBSD machines and Macs 
370,1,@JohnLloydTaylor good luck. Mannnn I love yous 
371,1,Back - did you miss me lol or didn't you notice the quiet 
372,0,i wanna go taylor swift concert in wembley!!!!! and miley in NEC but i cant afford miley 
373,0,"@MCRIsAPleasure i'll never let them hurt you , not tonight "
374,1,"@DiscoverNicole no problemo  i'm glad I found it tbh, if i didn't, I still wouldn't of heard it now lol "
375,1,@vinsharma His wife Ramola Bachchan is/was a well known socialite! 
376,1,@itstayloryall i lve jesus and you too. k bye 
